cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
[cel][pop_roc]0006__2.wav,081__[cla][nod][cla]0316__1.wav,[flu][pop_roc]0470__2.wav,[gac][jaz_blu]0598__1.wav,081__[gel][dru][pop_roc]0966__1.wav,[org][pop_roc]1095__1.wav,[pia][jaz_blu]1473__3.wav,025__[sax][nod][cla]1678__2.wav,[tru][cla]1873__2.wav,[vio][jaz_blu]2273__2.wav,209__[voi][nod][cou_fol]2422__1.wav
057__[cel][nod][cla]0036__2.wav,[cla][jaz_blu]0283__2.wav,[flu][cla]0366__2.wav,[gac][pop_roc]0692__2.wav,[gel][pop_roc]0742__3.wav,[org][pop_roc]1260__1.wav,[pia][jaz_blu]1511__1.wav,[sax][jaz_blu]1765__1.wav,[tru][pop_roc]2044__2.wav,[vio][jaz_blu]2238__3.wav,[voi][pop_roc]2354__3.wav
[cel][cla]0075__1.wav,[cla][pop_roc]0288__3.wav,[flu][pop_roc]0482__3.wav,[gac][pop_roc]0627__1.wav,068__[gel][dru][jaz_blu]0807__1.wav,[org][jaz_blu]1194__2.wav,[pia][jaz_blu]1471__2.wav,[sax][pop_roc]1572__1.wav,[tru][cla]1909__2.wav,[vio][jaz_blu]2240__3.wav,[voi][pop_roc]2502__2.wav
056__[cel][nod][cla]0038__1.wav,[cla][jaz_blu]0191__1.wav,[flu][cla]0400__3.wav,187__[gac][nod][pop_roc]0623__2.wav,[gel][pop_roc]0906__3.wav,[org][jaz_blu]1157__3.wav,[pia][jaz_blu]1529__3.wav,[sax][jaz_blu]1640__1.wav,[tru][cla]1903__3.wav,082__[vio][nod][cla]2165__3.wav,234__[voi][dru][cou_fol]2415__2.wav
[cel][pop_roc]0120__2.wav,[cla][jaz_blu]0178__1.wav,[flu][cla]0347__2.wav,[gac][pop_roc]0693__1.wav,[gel][pop_roc]1019__2.wav,[org][jaz_blu]1051__3.wav,[pia][jaz_blu]1474__2.wav,[sax][pop_roc]1629__1.wav,[tru][pop_roc]2038__1.wav,123__[vio][nod][cla]2167__1.wav,102__[voi][dru][cou_fol]2426__2.wav
[cel][cla]0079__3.wav,[cla][cla]0323__2.wav,[flu][jaz_blu]0398__1.wav,[gac][pop_roc]0728__2.wav,[gel][pop_roc]0904__1.wav,[org][pop_roc]1148__3.wav,204__[pia][nod][cla]1401__1.wav,[sax][jaz_blu]1740__3.wav,[tru][jaz_blu]1963__3.wav,[vio][pop_roc]2126__2.wav,052__[voi][nod][cou_fol]2396__3.wav
[cel][cla]0070__2.wav,[cla][cla]0163__2.wav,057__[flu][dru][cou_fol]0407__2.wav,[gac][pop_roc]0611__3.wav,208__[gel][dru][pop_roc]0981__1.wav,[org][jaz_blu]1042__3.wav,[pia][pop_roc]1326__2.wav,036__[sax][nod][cla]1664__3.wav,[tru][jaz_blu]1963__1.wav,[vio][pop_roc]2088__3.wav,118__[voi][nod][cou_fol]2432__3.wav
043__[cel][nod][cla]0029__1.wav,[cla][jaz_blu]0151__3.wav,[flu][pop_roc]0356__3.wav,[gac][pop_roc]0727__2.wav,[gel][jaz_blu]0998__1.wav,[org][jaz_blu]1180__3.wav,[pia][pop_roc]1295__3.wav,[sax][pop_roc]1615__1.wav,055__[tru][dru][jaz_blu]1988__3.wav,100__[vio][nod][cla]2183__2.wav,[voi][jaz_blu]2356__3.wav
132__[cel][nod][cla]0048__3.wav,[cla][cla]0322__3.wav,[flu][cla]0428__3.wav,[gac][pop_roc]0594__3.wav,[gel][pop_roc]0871__3.wav,[org][jaz_blu]1184__1.wav,231__[pia][nod][cla]1408__1.wav,[sax][jaz_blu]1781__2.wav,[tru][pop_roc]1959__1.wav,[vio][pop_roc]2253__2.wav,068__[voi][dru][pop_roc]2464__1.wav
[cel][cla]0068__2.wav,152__[cla][nod][cla]0217__2.wav,150__[flu][dru][cou_fol]0417__1.wav,[gac][jaz_blu]0559__1.wav,[gel][jaz_blu]0905__2.wav,[org][pop_roc]1254__1.wav,[pia][jaz_blu]1529__2.wav,[sax][cla]1642__1.wav,[tru][pop_roc]2049__3.wav,135__[vio][nod][cou_fol]2199__2.wav,199__[voi][nod][cou_fol]2438__3.wav
