,file,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
0,data/openmic/audio/018/018045_23040.ogg,0,0,0,0,0,0,0,0,0,1,0
1,data/openmic/audio/120/120942_345600.ogg,0,0,0,0,0,0,0,0,0,1,0
2,data/openmic/audio/037/037278_149760.ogg,0,0,0,0,0,0,0,0,0,0,1
3,data/openmic/audio/081/081271_414720.ogg,0,0,0,0,0,0,0,0,0,1,0
5,data/openmic/audio/130/130632_280320.ogg,0,0,0,0,0,0,0,0,1,0,0
7,data/openmic/audio/056/056536_1662720.ogg,0,0,0,0,0,0,0,1,0,0,0
8,data/openmic/audio/024/024861_30720.ogg,0,0,0,0,0,0,0,0,0,1,0
9,data/openmic/audio/015/015481_80640.ogg,0,0,0,0,0,0,0,0,0,0,1
10,data/openmic/audio/058/058947_57600.ogg,0,0,0,0,0,1,0,0,0,0,0
11,data/openmic/audio/028/028863_15360.ogg,0,0,0,0,0,0,0,0,0,1,0
12,data/openmic/audio/007/007015_65280.ogg,0,0,0,0,0,1,0,0,0,0,0
13,data/openmic/audio/137/137404_103680.ogg,0,0,1,0,0,0,0,0,0,0,0
14,data/openmic/audio/132/132136_176640.ogg,0,0,0,0,0,0,0,1,0,0,0
15,data/openmic/audio/004/004117_787200.ogg,0,0,0,0,0,1,0,0,0,0,0
16,data/openmic/audio/001/001325_291840.ogg,0,0,0,0,0,0,0,0,0,0,1
17,data/openmic/audio/035/035166_30720.ogg,0,0,0,0,0,0,0,0,0,1,0
18,data/openmic/audio/026/026682_103680.ogg,0,0,0,0,0,0,0,1,0,0,0
19,data/openmic/audio/086/086122_168960.ogg,0,0,0,0,0,0,0,1,0,0,0
20,data/openmic/audio/141/141198_69120.ogg,1,0,0,0,0,0,0,0,0,0,0
21,data/openmic/audio/040/040742_84480.ogg,0,0,0,1,0,0,0,0,0,0,0
22,data/openmic/audio/079/079877_84480.ogg,0,0,0,0,0,0,0,0,1,0,0
23,data/openmic/audio/081/081646_84480.ogg,0,0,0,0,0,0,1,0,0,0,0
24,data/openmic/audio/110/110275_280320.ogg,0,0,0,0,0,0,1,0,0,0,0
25,data/openmic/audio/129/129678_57600.ogg,0,0,0,0,0,0,0,0,0,0,1
26,data/openmic/audio/131/131758_3840.ogg,0,0,0,0,0,0,1,0,0,0,0
27,data/openmic/audio/038/038570_145920.ogg,0,1,0,0,0,0,0,0,0,0,0
28,data/openmic/audio/067/067365_107520.ogg,0,0,0,0,0,0,0,1,0,0,0
29,data/openmic/audio/135/135092_218880.ogg,1,0,0,0,0,0,0,0,0,0,0
30,data/openmic/audio/106/106628_72960.ogg,0,0,0,0,0,1,0,0,0,0,0
31,data/openmic/audio/042/042221_238080.ogg,0,0,0,0,0,0,0,1,0,0,0
32,data/openmic/audio/035/035147_602880.ogg,0,0,0,0,0,0,0,0,0,0,1
33,data/openmic/audio/136/136715_203520.ogg,0,0,0,0,0,0,0,0,1,0,0
35,data/openmic/audio/120/120883_26880.ogg,0,0,0,0,0,0,0,0,0,1,0
36,data/openmic/audio/143/143916_218880.ogg,0,0,0,0,0,0,0,0,0,1,0
38,data/openmic/audio/116/116815_276480.ogg,0,0,0,0,0,0,0,1,0,0,0
39,data/openmic/audio/067/067011_184320.ogg,0,0,0,1,0,0,0,0,0,0,0
40,data/openmic/audio/064/064947_99840.ogg,0,0,0,0,0,0,0,0,1,0,0
41,data/openmic/audio/134/134737_261120.ogg,0,0,0,0,1,0,0,0,0,0,0
42,data/openmic/audio/017/017373_168960.ogg,0,0,0,0,0,0,0,1,0,0,0
43,data/openmic/audio/039/039558_53760.ogg,0,0,0,0,0,0,1,0,0,0,0
44,data/openmic/audio/059/059164_42240.ogg,1,0,0,0,0,0,0,0,0,0,0
46,data/openmic/audio/001/001501_211200.ogg,0,0,0,0,0,0,0,0,0,1,0
47,data/openmic/audio/062/062548_99840.ogg,0,0,0,0,0,0,0,0,0,0,1
48,data/openmic/audio/124/124436_134400.ogg,0,0,0,0,0,0,0,0,0,1,0
49,data/openmic/audio/013/013264_215040.ogg,0,0,0,0,0,0,0,0,1,0,0
52,data/openmic/audio/013/013896_80640.ogg,0,0,0,0,0,0,0,1,0,0,0
54,data/openmic/audio/095/095527_180480.ogg,0,0,0,0,0,0,0,0,0,0,1
55,data/openmic/audio/015/015847_199680.ogg,0,0,1,0,0,0,0,0,0,0,0
57,data/openmic/audio/050/050956_57600.ogg,1,0,0,0,0,0,0,0,0,0,0
58,data/openmic/audio/017/017776_1102080.ogg,0,0,0,0,0,0,0,0,0,1,0
59,data/openmic/audio/070/070069_46080.ogg,0,0,0,0,0,0,1,0,0,0,0
60,data/openmic/audio/094/094777_583680.ogg,0,0,0,0,0,1,0,0,0,0,0
62,data/openmic/audio/054/054266_11520.ogg,0,0,0,0,0,0,0,0,1,0,0
63,data/openmic/audio/010/010730_149760.ogg,0,0,0,0,0,0,0,0,0,1,0
67,data/openmic/audio/052/052983_238080.ogg,0,0,0,0,0,0,0,0,1,0,0
68,data/openmic/audio/048/048124_449280.ogg,0,0,1,0,0,0,0,0,0,0,0
69,data/openmic/audio/150/150455_1125120.ogg,0,0,0,0,0,0,0,0,0,0,1
70,data/openmic/audio/146/146978_291840.ogg,0,0,0,0,0,0,0,0,0,1,0
71,data/openmic/audio/099/099360_15360.ogg,0,0,0,0,0,0,0,0,0,0,1
72,data/openmic/audio/081/081355_161280.ogg,0,0,0,0,0,0,0,0,0,0,1
73,data/openmic/audio/145/145354_165120.ogg,0,0,0,1,0,0,0,0,0,0,0
