Unnamed: 0,file,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
23516,data/openmic/audio/085/085090_222720.ogg,1,0,0,0,0,0,0,0,0,0,0
36348,data/openmic/audio/134/134983_53760.ogg,1,0,0,0,0,0,0,0,0,0,0
5814,data/openmic/audio/022/022889_153600.ogg,0,0,0,0,1,0,0,0,0,0,0
22391,data/openmic/audio/081/081056_34560.ogg,0,1,0,0,0,0,0,0,0,0,0
19897,data/openmic/audio/069/069793_92160.ogg,0,0,0,0,0,0,0,0,0,0,1
39619,data/openmic/audio/147/147360_203520.ogg,0,0,1,0,0,0,0,0,0,0,0
16510,data/openmic/audio/059/059175_180480.ogg,0,0,0,0,0,0,0,0,0,0,1
23245,data/openmic/audio/084/084156_61440.ogg,0,0,0,0,0,0,0,0,1,0,0
22069,data/openmic/audio/079/079907_0.ogg,0,0,0,0,0,0,1,0,0,0,0
39078,data/openmic/audio/145/145509_96000.ogg,0,0,0,1,0,0,0,0,0,0,0
7757,data/openmic/audio/030/030492_61440.ogg,0,0,0,0,0,0,0,0,0,0,1
37241,data/openmic/audio/138/138900_111360.ogg,0,0,0,0,0,0,0,1,0,0,0
27060,data/openmic/audio/101/101316_399360.ogg,0,0,0,0,0,0,0,0,0,0,1
6769,data/openmic/audio/026/026682_103680.ogg,0,0,0,0,0,0,0,1,0,0,0
32783,data/openmic/audio/122/122363_46080.ogg,0,0,0,1,0,0,0,0,0,0,0
15121,data/openmic/audio/056/056117_207360.ogg,0,0,0,0,0,0,0,0,1,0,0
33544,data/openmic/audio/125/125055_215040.ogg,0,0,1,0,0,0,0,0,0,0,0
39517,data/openmic/audio/147/147016_107520.ogg,1,0,0,0,0,0,0,0,0,0,0
17273,data/openmic/audio/061/061128_130560.ogg,0,0,0,0,0,0,0,0,0,0,1
38959,data/openmic/audio/145/145206_168960.ogg,0,0,0,0,0,0,0,0,0,1,0
39815,data/openmic/audio/148/148238_437760.ogg,0,0,0,0,1,0,0,0,0,0,0
40746,data/openmic/audio/151/151852_122880.ogg,0,0,0,0,0,1,0,0,0,0,0
7069,data/openmic/audio/027/027975_19200.ogg,0,1,0,0,0,0,0,0,0,0,0
1836,data/openmic/audio/008/008914_99840.ogg,0,0,0,0,0,0,0,0,0,0,1
12802,data/openmic/audio/048/048351_53760.ogg,0,0,0,0,0,0,1,0,0,0,0
8790,data/openmic/audio/034/034321_533760.ogg,0,0,0,0,0,0,0,0,0,0,1
7928,data/openmic/audio/031/031242_145920.ogg,0,0,0,0,0,0,1,0,0,0,0
29589,data/openmic/audio/111/111718_19200.ogg,0,0,1,0,0,0,0,0,0,0,0
35070,data/openmic/audio/130/130488_222720.ogg,0,0,0,0,0,0,0,1,0,0,0
3864,data/openmic/audio/015/015130_107520.ogg,0,0,0,0,0,0,0,0,0,0,1
30215,data/openmic/audio/113/113389_7680.ogg,1,0,0,0,0,0,0,0,0,0,0
7377,data/openmic/audio/029/029186_80640.ogg,0,0,0,0,0,1,0,0,0,0,0
23683,data/openmic/audio/085/085588_295680.ogg,0,0,1,0,0,0,0,0,0,0,0
31255,data/openmic/audio/117/117348_15360.ogg,0,0,0,0,0,0,0,0,0,1,0
14791,data/openmic/audio/054/054646_103680.ogg,0,1,0,0,0,0,0,0,0,0,0
9120,data/openmic/audio/035/035541_92160.ogg,0,0,0,0,0,0,0,1,0,0,0
15286,data/openmic/audio/056/056685_3490560.ogg,0,0,0,0,0,0,0,1,0,0,0
21977,data/openmic/audio/079/079477_226560.ogg,0,1,0,0,0,0,0,0,0,0,0
10037,data/openmic/audio/039/039058_203520.ogg,0,0,0,0,0,0,0,0,0,1,0
28714,data/openmic/audio/108/108632_88320.ogg,0,0,0,0,0,0,0,0,0,1,0
32119,data/openmic/audio/120/120185_26880.ogg,0,0,0,0,0,0,0,0,1,0,0
2035,data/openmic/audio/009/009819_72960.ogg,1,0,0,0,0,0,0,0,0,0,0
5871,data/openmic/audio/023/023077_46080.ogg,0,0,0,0,0,0,0,1,0,0,0
23146,data/openmic/audio/083/083796_0.ogg,0,0,0,0,0,0,1,0,0,0,0
5843,data/openmic/audio/022/022972_157440.ogg,0,0,0,0,0,0,0,0,1,0,0
17717,data/openmic/audio/062/062662_172800.ogg,0,0,0,0,0,1,0,0,0,0,0
18302,data/openmic/audio/064/064669_80640.ogg,0,0,0,0,1,0,0,0,0,0,0
36696,data/openmic/audio/136/136540_96000.ogg,0,0,0,0,0,0,0,0,1,0,0
13443,data/openmic/audio/050/050613_430080.ogg,0,0,0,0,0,0,0,0,0,1,0
35405,data/openmic/audio/131/131755_46080.ogg,0,0,0,0,0,0,1,0,0,0,0
11563,data/openmic/audio/043/043768_272640.ogg,0,0,0,0,0,0,0,0,1,0,0
10575,data/openmic/audio/040/040777_218880.ogg,0,0,0,0,0,0,1,0,0,0,0
36146,data/openmic/audio/134/134329_46080.ogg,1,0,0,0,0,0,0,0,0,0,0
16617,data/openmic/audio/059/059543_69120.ogg,0,0,0,0,0,0,1,0,0,0,0
12086,data/openmic/audio/046/046228_3840.ogg,0,0,0,0,0,0,1,0,0,0,0
19653,data/openmic/audio/068/068864_142080.ogg,0,0,1,0,0,0,0,0,0,0,0
9487,data/openmic/audio/036/036694_176640.ogg,0,0,0,0,0,0,0,0,0,0,1
13978,data/openmic/audio/052/052295_180480.ogg,0,0,1,0,0,0,0,0,0,0,0
15420,data/openmic/audio/057/057194_72960.ogg,0,1,0,0,0,0,0,0,0,0,0
38772,data/openmic/audio/144/144727_0.ogg,0,0,0,0,0,0,0,0,0,1,0
14453,data/openmic/audio/053/053807_65280.ogg,0,0,0,0,0,0,0,0,0,0,1
15224,data/openmic/audio/056/056562_1040640.ogg,0,0,0,0,0,0,0,0,0,1,0
